name	version	repository	architecture	download_bytes	url	sha256
hyprtoolkit	0.5.4-6	extra	aarch64	388380	http://mirror.archlinuxarm.org/aarch64/extra/hyprtoolkit-0.5.4-6-aarch64.pkg.tar.xz	1389a7db4f440900b1cf533981401cd7743e551954b0e617a17866bd480676e7
hyprutils	0.14.2-1	extra	aarch64	197828	http://mirror.archlinuxarm.org/aarch64/extra/hyprutils-0.14.2-1-aarch64.pkg.tar.xz	a48f017818b0b6900d6bc0d2de890477e9d8abef3d416089f36635d168b12280
hyprwire	0.3.1-3	extra	aarch64	169708	http://mirror.archlinuxarm.org/aarch64/extra/hyprwire-0.3.1-3-aarch64.pkg.tar.xz	da2c68e1163143cda6fc2a3f4d4bdf5485d598dd1c672b2d382b75904f145aca
iniparser	4.3.0-1	extra	aarch64	18484	http://mirror.archlinuxarm.org/aarch64/extra/iniparser-4.3.0-1-aarch64.pkg.tar.xz	6945d09d3d1c666e60305c8feaa5b16113af5d74447fa499d568911f880569f3
jbigkit	2.1-8	extra	aarch64	48816	http://mirror.archlinuxarm.org/aarch64/extra/jbigkit-2.1-8-aarch64.pkg.tar.xz	ecaddb099f4a1f1bcbc1497fd0f3dc98581552b9eacaa17c5568211c38bec1db
lcms2	2.19.1-1	extra	aarch64	205460	http://mirror.archlinuxarm.org/aarch64/extra/lcms2-2.19.1-1-aarch64.pkg.tar.xz	5f93d01820b4e1a463f3cb11e19916bb3761b4faca20d4e1f0854329ba3f46f8
libdatrie	0.2.14-1	extra	aarch64	109632	http://mirror.archlinuxarm.org/aarch64/extra/libdatrie-0.2.14-1-aarch64.pkg.tar.xz	13f6aeb32f57d91c59ca68ce21abce48353081e886d3e8c2d89d5884b1f4b969
libdecor	0.2.5-1	extra	aarch64	42288	http://mirror.archlinuxarm.org/aarch64/extra/libdecor-0.2.5-1-aarch64.pkg.tar.xz	af8fc60c81c611bc74935468fb99b6651f69a1cdf67a7f84eb09fee6fb664016
libdeflate	1.26-1	extra	aarch64	56044	http://mirror.archlinuxarm.org/aarch64/extra/libdeflate-1.26-1-aarch64.pkg.tar.xz	d8798122abe2cdc8f496d7a65904b6c14bfcd4448d31a47629aaeb021d1134e9
libdisplay-info	0.3.0-1	extra	aarch64	113384	http://mirror.archlinuxarm.org/aarch64/extra/libdisplay-info-0.3.0-1-aarch64.pkg.tar.xz	73af5a8923b764610ed281c3d1529c73bfeb40dcb3a4015a1e36ef4fc1ba7e5d
libdrm	2.4.134-1	extra	aarch64	400060	http://mirror.archlinuxarm.org/aarch64/extra/libdrm-2.4.134-1-aarch64.pkg.tar.xz	d4173d7adc60d32d389e44e976447962c31bc23ff9a2153539bd8ad766e307b8
libei	1.6.0-1	extra	aarch64	107216	http://mirror.archlinuxarm.org/aarch64/extra/libei-1.6.0-1-aarch64.pkg.tar.xz	a09e6322764d03ed4dd9bc968d8fd22f9833ab859ce9316eeb496522ac0edb45
libepoxy	1.5.10-3	extra	aarch64	305076	http://mirror.archlinuxarm.org/aarch64/extra/libepoxy-1.5.10-3-aarch64.pkg.tar.xz	8bb73da9e2df09cf7798904a8709dfb49826a7a9c593a166cddd4a891a280724
libevdev	1.13.7-1	extra	aarch64	59144	http://mirror.archlinuxarm.org/aarch64/extra/libevdev-1.13.7-1-aarch64.pkg.tar.xz	66e217a86abda724b5335341b1272da42c1f1b2f022dc3c51c088ee7cf9c7fdf
libfontenc	1.1.9-1	extra	aarch64	14732	http://mirror.archlinuxarm.org/aarch64/extra/libfontenc-1.1.9-1-aarch64.pkg.tar.xz	e42320161bec71bafa2243ff203fa8a3306b0a0f91e90dd89291b093340ab1fc
libglvnd	1.7.0-3	extra	aarch64	315240	http://mirror.archlinuxarm.org/aarch64/extra/libglvnd-1.7.0-3-aarch64.pkg.tar.xz	5a163e41583346b55f25de580e10c2edb31f5c8662667531d0e476b7b1336338
libgudev	238-3	extra	aarch64	42040	http://mirror.archlinuxarm.org/aarch64/extra/libgudev-238-3-aarch64.pkg.tar.xz	54ad35f53e669683ef336aec62c9173b343b51efd4b6a7d3eb022708c1dc3c7e
libinput	1.32.0-1	extra	aarch64	212372	http://mirror.archlinuxarm.org/aarch64/extra/libinput-1.32.0-1-aarch64.pkg.tar.xz	defd6b2c7e9e5b9b2089eca649573c481be8b6066051353227190d723f299cc5
libjpeg-turbo	3.2.0-2	extra	aarch64	503296	http://mirror.archlinuxarm.org/aarch64/extra/libjpeg-turbo-3.2.0-2-aarch64.pkg.tar.xz	fd1cd460ef3a4bbeb1a660f9f4bbacd09d6dd817a10f0300891a6a552fddb5ec
libjxl	0.12.0-1	extra	aarch64	1243932	http://mirror.archlinuxarm.org/aarch64/extra/libjxl-0.12.0-1-aarch64.pkg.tar.xz	fb4a1fdfb0fe1e8434578abcd6c6e84d4e89a9bdb2ed44334f0a1a7a94306c45
libpciaccess	0.19-1	extra	aarch64	20856	http://mirror.archlinuxarm.org/aarch64/extra/libpciaccess-0.19-1-aarch64.pkg.tar.xz	d490a86384c25a9258e7eec84f5eaceca072e6ca45c37972e12f6e8a3da3766d
libpng	1.6.58-2	extra	aarch64	239264	http://mirror.archlinuxarm.org/aarch64/extra/libpng-1.6.58-2-aarch64.pkg.tar.xz	feeae0049a26cb65612180df8bd3916eccc1ac6c2b5c290598045403364a360e
librsvg	2:2.62.3-1	extra	aarch64	2011016	http://mirror.archlinuxarm.org/aarch64/extra/librsvg-2:2.62.3-1-aarch64.pkg.tar.xz	ac326e01c246024c62d4fea5b96513b82a198042057ae66b12641a05127aabae
libthai	0.1.30-1	extra	aarch64	252064	http://mirror.archlinuxarm.org/aarch64/extra/libthai-0.1.30-1-aarch64.pkg.tar.xz	6bef55010b97524e3e2c7de4ec8834df5971eab8fe8ac4c5f2e88e42fad28524
libtiff	4.7.2-1	extra	aarch64	354480	http://mirror.archlinuxarm.org/aarch64/extra/libtiff-4.7.2-1-aarch64.pkg.tar.xz	02a5d2d74019b39befd6cf63d9bde95a2d16f91b4d0d56939498375e0e491ffd
libunwind	1.8.3-1	extra	aarch64	132712	http://mirror.archlinuxarm.org/aarch64/extra/libunwind-1.8.3-1-aarch64.pkg.tar.xz	3cdbe9df64c78d640327afcd6e8b89a3a1b03fbfe2c001abe0c40fff367c41e8
libutf8proc	2.11.3-1	extra	aarch64	61592	http://mirror.archlinuxarm.org/aarch64/extra/libutf8proc-2.11.3-1-aarch64.pkg.tar.xz	3ada70c5f375dff19b1daa4407a6a838d0aa4d11b6b6522498f118dd37696cd8
